rownames,id,nearc2,nearc4,educ,age,fatheduc,motheduc,weight,momdad14,sinmom14,step14,reg661,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669,south66,black,smsa,south,smsa66,wage,enroll,KWW,IQ,married,libcrd14,exper,lwage,expersq
113,214,0,1,18,29,8.0,9.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,682,0,,132.0,1.0,1.0,5,6.52502965927124,25
114,217,0,1,12,24,10.0,12.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,411,0,20.0,,1.0,1.0,6,6.0185933113098145,36
115,218,0,1,13,27,12.0,15.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,35.0,106.0,1.0,0.0,8,6.437751770019531,64
116,222,0,1,18,32,12.0,12.0,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1005,0,46.0,123.0,1.0,1.0,8,6.912742614746094,64
117,225,0,1,11,24,9.0,11.0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,725,0,24.0,109.0,1.0,1.0,7,6.586171627044678,49
118,226,0,1,15,27,8.0,11.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,750,0,35.0,103.0,1.0,1.0,6,6.620073318481445,36
119,228,0,1,14,29,,8.0,533828,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,529,0,33.0,108.0,1.0,0.0,9,6.270988464355469,81
120,229,0,1,17,29,8.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,972,0,47.0,122.0,1.0,1.0,6,6.8793559074401855,36
121,232,0,1,12,26,12.0,12.0,380166,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,472,0,36.0,109.0,1.0,1.0,8,6.156979084014893,64
122,233,0,1,12,24,12.0,12.0,369567,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,325,0,35.0,102.0,6.0,1.0,6,5.783825397491455,36
123,234,0,1,12,34,,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,875,0,44.0,109.0,1.0,1.0,16,6.774223804473877,256
124,237,0,1,13,34,9.0,10.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,40.0,100.0,1.0,1.0,15,6.437751770019531,225
125,239,0,1,12,26,8.0,10.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,337,0,29.0,93.0,1.0,1.0,8,5.820083141326904,64
126,240,0,1,16,27,5.0,5.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,481,0,37.0,115.0,1.0,1.0,5,6.175867080688477,25
127,241,0,1,9,29,5.0,,551817,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,,,6.0,0.0,14,6.476972579956055,196
128,242,0,1,16,25,5.0,4.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,383,0,39.0,,6.0,0.0,3,5.948034763336182,9
129,244,0,1,18,30,15.0,14.0,533828,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,962,0,50.0,125.0,1.0,1.0,6,6.869014263153076,36
130,245,0,1,16,29,13.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,615,0,31.0,106.0,6.0,1.0,7,6.421622276306152,49
131,247,0,1,14,28,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,702,0,43.0,113.0,1.0,1.0,8,6.553933620452881,64
132,249,0,1,14,31,,12.0,551817,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,635,0,41.0,122.0,6.0,1.0,11,6.453625202178955,121
133,250,0,1,12,28,10.0,11.0,422407,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,200,0,35.0,,4.0,0.0,10,5.2983174324035645,100
134,252,0,1,12,27,10.0,10.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,817,0,43.0,116.0,1.0,1.0,9,6.705638885498047,81
135,253,0,1,14,26,,12.0,380166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,39.0,116.0,1.0,1.0,6,6.357842445373535,36
136,254,0,1,17,26,12.0,12.0,760332,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,466,0,34.0,105.0,1.0,1.0,3,6.144185543060303,9
137,255,0,1,16,29,,12.0,993271,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,924,0,39.0,,1.0,1.0,7,6.828711986541748,49
138,256,0,1,16,31,12.0,12.0,993271,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,793,1,38.0,112.0,1.0,0.0,9,6.675823211669922,81
139,257,0,1,14,28,12.0,12.0,760332,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,635,0,32.0,113.0,1.0,1.0,8,6.453625202178955,64
140,259,0,1,12,25,,,369567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,570,0,22.0,,6.0,1.0,7,6.345636367797852,49
141,260,0,1,16,29,12.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,705,0,37.0,94.0,1.0,1.0,7,6.558197975158691,49
142,261,0,1,14,28,12.0,9.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,635,0,40.0,103.0,1.0,1.0,8,6.453625202178955,64
143,263,0,1,12,30,,12.0,496635,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,694,0,36.0,102.0,1.0,0.0,12,6.542471885681152,144
144,264,0,1,13,34,10.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,615,0,47.0,109.0,1.0,1.0,15,6.421622276306152,225
145,265,0,1,16,26,15.0,10.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,462,0,34.0,130.0,6.0,1.0,4,6.135564804077148,16
146,266,0,1,12,34,12.0,12.0,408301,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,865,0,45.0,105.0,1.0,1.0,16,6.762729644775391,256
147,267,0,1,18,33,12.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,737,0,46.0,134.0,1.0,1.0,9,6.602587699890137,81
148,268,0,1,12,25,8.0,14.0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1400,0,39.0,,1.0,1.0,7,7.244227409362793,49
149,270,0,1,12,31,,7.0,496635,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,808,0,43.0,105.0,1.0,0.0,13,6.694561958312988,169
150,272,0,1,16,26,11.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,654,0,36.0,104.0,1.0,0.0,4,6.483107566833496,16
151,273,0,1,12,25,,12.0,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,300,0,35.0,112.0,1.0,1.0,7,5.703782558441162,49
152,275,0,1,16,30,8.0,10.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,37.0,115.0,4.0,1.0,8,6.357842445373535,64
153,279,0,1,16,24,10.0,12.0,410630,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,265,0,44.0,,6.0,1.0,2,5.579730033874512,4
154,280,0,1,18,31,8.0,8.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,594,0,33.0,117.0,1.0,1.0,7,6.3868794441223145,49
155,282,0,1,17,26,12.0,8.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,325,0,29.0,114.0,1.0,1.0,3,5.783825397491455,9
156,283,0,1,16,24,12.0,8.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,385,1,37.0,118.0,6.0,1.0,2,5.953243255615234,4
